transaction_id,date,month,quarter,sku,product_name,category,subcategory,region,channel,sales_rep,units_sold,unit_price_usd,gross_revenue_usd,discount_pct,net_revenue_usd,cogs_usd,gross_profit_usd
TXN-00417,2024-01-02,2024-01,Q1-2024,NB-CLNR-002,NovaBite Dishwash Liquid 500ml,Home Care,Dishwash,East,General Trade,Anita Desai,495,3.66,1811.7,5,1721.12,789.55,931.57
TXN-00271,2024-01-04,2024-01,Q1-2024,NB-COND-001,NovaBite Conditioner Argan 300ml,Personal Care,Conditioner,North,Direct to Consumer,Sneha Patel,391,9.2,3597.2,0,3597.2,1463.32,2133.88
TXN-00428,2024-01-04,2024-01,Q1-2024,NB-SNCK-003,NovaBite Granola Pouch 250g,Snacks,Granola,South,Modern Trade,Arjun Rao,228,4.4,1003.2,15,852.72,425.77,426.95
TXN-00939,2024-01-05,2024-01,Q1-2024,NB-BVGR-002,NovaBite Sparkling Water Lemon 330ml,Beverages,Water,Central,General Trade,Karan Malhotra,279,1.25,348.75,0,348.75,161.28,187.47
TXN-00194,2024-01-06,2024-01,Q1-2024,NB-SHMP-001,NovaBite Shampoo Coconut 400ml,Personal Care,Shampoo,West,Direct to Consumer,Karan Malhotra,473,9.41,4450.93,0,4450.93,1924.35,2526.58
TXN-00262,2024-01-07,2024-01,Q1-2024,NB-SHMP-001,NovaBite Shampoo Coconut 400ml,Personal Care,Shampoo,West,E-Commerce,Vikram Nair,143,11.56,1653.08,5,1570.43,805.73,764.7
TXN-00844,2024-01-07,2024-01,Q1-2024,NB-WASH-002,NovaBite Foaming Hand Wash 300ml,Personal Care,Hand Wash,Central,Direct to Consumer,Rahul Mehta,219,4.98,1090.62,0,1090.62,504.06,586.56
TXN-00569,2024-01-08,2024-01,Q1-2024,NB-WASH-001,NovaBite Liquid Hand Wash 250ml,Personal Care,Hand Wash,Central,Modern Trade,Divya Joshi,202,4.73,955.46,10,859.91,447.71,412.2
TXN-00234,2024-01-09,2024-01,Q1-2024,NB-BVGR-002,NovaBite Sparkling Water Lemon 330ml,Beverages,Water,West,E-Commerce,Divya Joshi,443,2.16,956.88,0,956.88,509.41,447.47
TXN-00743,2024-01-09,2024-01,Q1-2024,NB-SNCK-002,NovaBite Mixed Nuts Pack 100g,Snacks,Nuts,East,Modern Trade,Karan Malhotra,323,4.43,1430.89,5,1359.35,716.58,642.77
TXN-00296,2024-01-10,2024-01,Q1-2024,NB-CLNR-001,NovaBite Multi-Surface Spray 750ml,Home Care,Cleaner,South,Modern Trade,Anita Desai,121,6.89,833.69,0,833.69,341.04,492.65
